Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Amy Sullivan,Civil Engineering,"['robotics', 'edge computing']","['cybersecurity', 'human-computer interaction', 'bioinformatics']","['Rust', 'Lua', 'R']","['Svelte', 'Blitz.js']","['Jenkins', 'Elasticsearch']","['MongoDB', 'MySQL', 'AWS', 'GitHub']",2 months,No open-source contribution,No achievements
Sandra Hubbard,Computer Science,"['software engineering', 'computer architecture']","['web and mobile development', 'human-computer interaction']",['JavaScript'],"['Spring Boot', 'React Native']","['PostgreSQL', 'AWS', 'TensorFlow']","['TensorFlow', 'Jenkins']",1 month,Contributed to XYZ project,No achievements
Laurie Green,Electrical Engineering,['IoT'],"['IoT', 'cybersecurity']","['TypeScript', 'Dart', 'Ruby', 'C', 'C#']","['NestJS', 'Blitz.js', 'React', 'Flask']",['AWS'],['TensorFlow'],1 month,No open-source contribution,No achievements
Cynthia Morris,Biotechnology,"['software engineering', 'data engineering']","['quantum computing', 'blockchain', 'web and mobile development']","['C++', 'R', 'Java', 'C#', 'MATLAB']","['Laravel', 'React Native', 'Vue.js', 'Spring Boot']","['Jenkins', 'PostgreSQL', 'PyTorch', 'Ansible']",['PostgreSQL'],2 months,No open-source contribution,No achievements
Brittany Giles,Mechanical Engineering,['system architecture'],['bioinformatics'],"['Rust', 'Python', 'R', 'PHP']","['Nuxt.js', 'Svelte', 'Ruby on Rails', 'Angular']","['Google Cloud', 'MongoDB', 'Docker', 'GitLab']",['GitHub'],1 week,No open-source contribution,Awarded XYZ in Mechanical Engineering
Lori Willis,Mechanical Engineering,"['network engineering', 'business intelligence']","['web and mobile development', 'bioinformatics', 'artificial intelligence and machine learning']","['Go', 'Python']",['Spring Boot'],"['AWS', 'Azure', 'Google Cloud', 'PyTorch']",['Redis'],2 months,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Jennifer Ford,Biotechnology,"['cryptography', 'human-computer interaction', 'system architecture']","['bioinformatics', 'game development', 'robotics']",['Scala'],"['Blitz.js', 'Django', 'Ruby on Rails', 'Flutter']","['Elasticsearch', 'TensorFlow', 'PyTorch']",['TensorFlow'],1 week,Contributed to XYZ project,No achievements
Andrew Barton,Information Technology,"['network engineering', 'edge computing', 'ethical hacking']",['human-computer interaction'],"['Kotlin', 'Rust', 'C', 'TypeScript', 'SQL']","['Ionic', 'Ruby on Rails', 'Svelte', 'Laravel']","['Redis', 'Kubernetes']",['TensorFlow'],1 month,Contributed to XYZ project,No achievements
Mrs. Valerie Thompson,Mechanical Engineering,"['cryptography', 'robotics']","['IoT', 'artificial intelligence and machine learning']","['Shell Scripting', 'TypeScript', 'R']","['Ruby on Rails', 'Blitz.js', 'Next.js']","['Keras', 'Elasticsearch', 'Google Cloud', 'Git']","['MySQL', 'AWS']",2 months,No open-source contribution,No achievements
Albert Cline,Biotechnology,['generative AI'],['quantum computing'],"['C#', 'JavaScript', 'Objective-C', 'PHP']",['Angular'],"['Kubernetes', 'GitLab', 'Redis', 'Ansible']","['TensorFlow', 'GitHub']",1 week,No open-source contribution,Awarded XYZ in Biotechnology
Cristian Rodriguez,Electronics and Communication,['generative AI'],"['data science and analytics', 'bioinformatics']","['Swift', 'Scala']","['Nuxt.js', 'React Native', 'NestJS', 'Django']",['Google Cloud'],"['Azure', 'Git', 'Jenkins']",1 week,Contributed to XYZ project,No achievements
Brandy Parker,Electrical Engineering,['computational biology'],"['human-computer interaction', 'quantum computing']","['Scala', 'Dart']","['Blitz.js', 'NestJS', 'Nuxt.js']","['Kubernetes', 'Azure']","['Kubernetes', 'TensorFlow']",1 week,No open-source contribution,No achievements
Sharon Roberson,Computer Science,"['network engineering', 'big data', 'blockchain']",['game development'],"['MATLAB', 'Lua']","['Nuxt.js', 'Blitz.js', 'Spring Boot', 'Flask']",['AWS'],['Kubernetes'],1 month,Contributed to XYZ project,No achievements
John Robinson,Information Technology,['software engineering'],"['game development', 'blockchain', 'quantum computing']","['Swift', 'Scala']","['NestJS', 'Blitz.js', 'Ember.js']",['Kubernetes'],"['MySQL', 'MongoDB', 'Git']",1 month,No open-source contribution,No achievements
Dana Garcia,Information Technology,['reinforcement learning'],['IoT'],['Ruby'],['Spring Boot'],"['Docker', 'GitHub']","['GitLab', 'Azure', 'Jenkins', 'MySQL']",1 week,No open-source contribution,No achievements
Joshua Norris MD,Computer Science,"['computational biology', 'digital signal processing']","['quantum computing', 'game development', 'human-computer interaction']",['Rust'],"['Next.js', 'Spring Boot', 'Nuxt.js', 'Meteor']","['Azure', 'GitHub', 'Git', 'Ansible']","['Azure', 'TensorFlow']",2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Charles Nelson,Mechanical Engineering,"['blockchain', 'network engineering', 'cloud security']",['quantum computing'],"['TypeScript', 'Dart']","['React', 'NestJS', 'Vue.js']","['TensorFlow', 'TensorFlow', 'Git', 'Kubernetes']",['MongoDB'],1 month,Contributed to XYZ project,No achievements
Robin Wright,Information Technology,['edge computing'],['cybersecurity'],"['Shell Scripting', 'Scala', 'TypeScript']","['Vue.js', 'Blitz.js', 'React', 'Meteor']","['Jenkins', 'Ansible', 'Keras']","['Redis', 'Jenkins']",2 months,Contributed to XYZ project,No achievements
David Turner DDS,Biotechnology,"['AR/VR', 'DevOps']","['artificial intelligence and machine learning', 'web and mobile development', 'cybersecurity']","['Scala', 'Python']","['React', 'Ember.js', 'Express.js']","['Docker', 'TensorFlow', 'PyTorch', 'PostgreSQL']","['Git', 'MongoDB', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Justin Johnson,Electronics and Communication,"['computer architecture', 'algorithms']",['cybersecurity'],['Python'],['Laravel'],['Git'],['Kubernetes'],1 week,No open-source contribution,No achievements
Paul Black,Mechanical Engineering,['mobile app development'],"['robotics', 'artificial intelligence and machine learning']","['Scala', 'Objective-C', 'Python', 'Swift', 'Lua']",['Ionic'],"['AWS', 'Keras', 'TensorFlow']","['Docker', 'Redis', 'Elasticsearch']",1 month,Contributed to XYZ project,No achievements
Michelle Drake,Information Technology,['computational theory'],['blockchain'],"['Scala', 'Shell Scripting', 'Objective-C']","['Spring Boot', 'Express.js', 'Flask', 'Nuxt.js']",['Ansible'],"['TensorFlow', 'Elasticsearch', 'MongoDB']",1 week,No open-source contribution,No achievements
Megan Johnson,Mechanical Engineering,['big data'],"['human-computer interaction', 'bioinformatics']","['C#', 'Python', 'Go']",['Ionic'],"['MySQL', 'Git', 'Azure']","['TensorFlow', 'MongoDB', 'GitLab']",2 months,No open-source contribution,No achievements
Rebekah Lewis,Mechanical Engineering,"['AR/VR', 'computational theory']","['artificial intelligence and machine learning', 'data science and analytics']","['SQL', 'Swift', 'Shell Scripting', 'Rust']","['Vue.js', 'Meteor', 'Blitz.js']","['Elasticsearch', 'GitLab', 'GitHub']",['Git'],1 week,No open-source contribution,No achievements
William Taylor,Computer Science,['algorithms'],['data science and analytics'],"['Kotlin', 'Java', 'Lua']","['Django', 'React', 'NestJS']","['MongoDB', 'PyTorch', 'TensorFlow']","['PostgreSQL', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Karen Williams,Biotechnology,"['natural language processing', 'computer vision']",['bioinformatics'],"['R', 'TypeScript', 'C', 'Shell Scripting', 'PHP']","['Svelte', 'Flutter', 'Ruby on Rails']","['Redis', 'GitLab']","['Kubernetes', 'Google Cloud']",1 month,No open-source contribution,Awarded XYZ in Biotechnology
Michael Warner,Biotechnology,['software engineering'],"['bioinformatics', 'quantum computing']","['PHP', 'Python', 'SQL']","['Flutter', 'Django', 'Blitz.js']","['PyTorch', 'Elasticsearch', 'TensorFlow']",['Keras'],2 months,Contributed to XYZ project,No achievements
Michael Walker,Mechanical Engineering,['edge computing'],"['artificial intelligence and machine learning', 'game development']","['SQL', 'Python', 'Go', 'R', 'Rust']","['Next.js', 'Laravel']","['Redis', 'MySQL', 'PyTorch', 'TensorFlow']","['GitLab', 'Elasticsearch']",1 month,No open-source contribution,No achievements
Alexander Jimenez,Computer Science,"['DevOps', 'cloud security', 'quantum computing']","['quantum computing', 'data science and analytics', 'cybersecurity']","['SQL', 'Objective-C', 'Go']","['Next.js', 'Spring Boot', 'Ionic', 'Vue.js']",['Elasticsearch'],['Redis'],1 month,No open-source contribution,No achievements
Patricia Cervantes,Electronics and Communication,"['AR/VR', 'web app development']","['IoT', 'robotics', 'blockchain']","['Python', 'Dart', 'SQL']",['Next.js'],"['TensorFlow', 'MongoDB', 'Jenkins']","['Redis', 'GitLab', 'Azure', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Timothy Davis,Computer Science,"['ethical hacking', 'natural language processing']","['quantum computing', 'bioinformatics', 'artificial intelligence and machine learning']","['Ruby', 'Scala']",['Nuxt.js'],"['AWS', 'Kubernetes', 'PostgreSQL']",['Azure'],2 months,No open-source contribution,No achievements
Megan Ramirez,Biotechnology,"['system architecture', 'natural language processing']","['cybersecurity', 'game development', 'quantum computing']","['Ruby', 'C#', 'Go', 'Dart', 'R']","['Ionic', 'Nuxt.js', 'Blitz.js', 'Next.js']","['TensorFlow', 'Redis']","['Google Cloud', 'Docker', 'PyTorch', 'MySQL']",2 months,No open-source contribution,No achievements
Jason Perez PhD,Mechanical Engineering,"['business intelligence', 'artificial intelligence', 'software engineering']",['artificial intelligence and machine learning'],['Python'],"['Flask', 'Blitz.js', 'Ember.js', 'Angular']","['GitHub', 'PostgreSQL', 'TensorFlow']",['Git'],1 month,No open-source contribution,No achievements
Paul Ferguson,Electronics and Communication,"['system architecture', 'business intelligence', 'generative AI']","['quantum computing', 'robotics']",['Scala'],"['Meteor', 'Blitz.js', 'NestJS', 'Angular']","['Docker', 'Jenkins', 'Redis', 'PostgreSQL']","['Redis', 'MySQL', 'Keras']",1 month,No open-source contribution,No achievements
Julie Phillips,Biotechnology,"['bioinformatics', 'digital signal processing']","['human-computer interaction', 'data science and analytics', 'IoT']",['MATLAB'],['Svelte'],"['TensorFlow', 'GitLab', 'GitHub', 'Git']","['Kubernetes', 'Redis', 'TensorFlow', 'GitLab']",1 week,No open-source contribution,No achievements
James Fox,Mechanical Engineering,"['deep learning', 'game development', 'data science']",['robotics'],"['Shell Scripting', 'Swift', 'JavaScript', 'Go', 'R']","['Next.js', 'Angular', 'NestJS', 'Ember.js']","['PostgreSQL', 'TensorFlow', 'TensorFlow', 'PyTorch']",['PostgreSQL'],2 months,Contributed to XYZ project,No achievements
Eric Roberts,Computer Science,"['AR/VR', 'distributed systems']","['quantum computing', 'cybersecurity', 'data science and analytics']","['C', 'PHP', 'Kotlin', 'JavaScript']",['Ember.js'],"['Kubernetes', 'MySQL', 'Git', 'Redis']","['Docker', 'Elasticsearch', 'TensorFlow']",1 week,No open-source contribution,No achievements
Jason Acosta,Mechanical Engineering,"['algorithms', 'ethical hacking']",['game development'],"['SQL', 'R', 'TypeScript', 'JavaScript', 'C']",['Django'],"['Ansible', 'Azure', 'PostgreSQL', 'MongoDB']","['PyTorch', 'PostgreSQL', 'Redis']",1 week,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Jeremy Olson,Civil Engineering,"['computer architecture', 'embedded systems']","['data science and analytics', 'blockchain']","['PHP', 'C', 'Go', 'Objective-C', 'Python']","['Laravel', 'Flutter']","['Jenkins', 'Keras']","['Elasticsearch', 'GitHub']",2 months,No open-source contribution,No achievements
Annette Huff,Mechanical Engineering,"['computer architecture', 'mobile app development', 'data engineering']",['human-computer interaction'],"['Rust', 'TypeScript', 'Python']",['Flask'],['GitLab'],['Docker'],1 week,No open-source contribution,No achievements
Ashley Jones,Electrical Engineering,['data science'],"['data science and analytics', 'robotics', 'bioinformatics']","['Shell Scripting', 'Go']","['Next.js', 'Svelte']",['Elasticsearch'],['MongoDB'],2 months,Contributed to XYZ project,No achievements
Thomas Ryan,Electrical Engineering,['digital signal processing'],"['cybersecurity', 'blockchain', 'bioinformatics']","['MATLAB', 'Ruby']","['Ionic', 'Blitz.js']",['Elasticsearch'],"['Azure', 'TensorFlow']",1 month,No open-source contribution,No achievements
Tyler Schultz,Electronics and Communication,"['reinforcement learning', 'computational biology', 'software engineering']","['quantum computing', 'data science and analytics']",['PHP'],['Ember.js'],"['GitLab', 'GitHub', 'Keras', 'Google Cloud']",['Ansible'],2 months,No open-source contribution,No achievements
Paul Stewart,Computer Science,"['artificial intelligence', 'generative AI', 'data engineering']","['IoT', 'game development']","['C#', 'Dart']",['Spring Boot'],"['Kubernetes', 'MongoDB', 'Elasticsearch']","['Docker', 'PyTorch']",2 months,Contributed to XYZ project,No achievements
Steven Johnson,Electronics and Communication,['system architecture'],['game development'],"['JavaScript', 'Objective-C', 'Rust']","['Spring Boot', 'Flutter', 'Express.js']","['GitLab', 'MySQL', 'MongoDB', 'Keras']","['Kubernetes', 'PostgreSQL', 'Docker', 'MongoDB']",1 week,Contributed to XYZ project,No achievements
Brenda Jones,Information Technology,"['bioinformatics', 'machine learning']","['IoT', 'robotics']","['Shell Scripting', 'PHP', 'C++']","['Flutter', 'Meteor', 'Svelte', 'Express.js']","['GitLab', 'GitHub']","['GitLab', 'Redis', 'TensorFlow', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Amanda Greene MD,Information Technology,"['algorithms', 'data science', 'embedded systems']",['blockchain'],"['Objective-C', 'Rust', 'Scala', 'Lua', 'Ruby']","['Nuxt.js', 'Next.js', 'NestJS', 'Vue.js']","['AWS', 'TensorFlow', 'Kubernetes', 'Jenkins']","['GitLab', 'Jenkins']",1 week,Contributed to XYZ project,No achievements
Melanie Robinson,Computer Science,"['cloud security', 'system architecture', 'quantum computing']",['robotics'],"['R', 'Shell Scripting']",['NestJS'],"['Redis', 'TensorFlow']","['Ansible', 'Git', 'TensorFlow', 'Kubernetes']",2 months,No open-source contribution,No achievements
Timothy Jacobs,Computer Science,['reinforcement learning'],"['web and mobile development', 'cybersecurity', 'human-computer interaction']","['Lua', 'Dart', 'C#', 'Kotlin', 'R']","['React Native', 'Blitz.js', 'Express.js']","['Jenkins', 'GitLab']","['Kubernetes', 'Git', 'Azure']",1 month,Contributed to XYZ project,No achievements
Patty Ryan,Computer Science,"['autonomous systems', 'machine learning', 'network engineering']","['IoT', 'data science and analytics']","['C#', 'SQL', 'Lua', 'Swift', 'Rust']","['Express.js', 'Laravel', 'Svelte', 'Nuxt.js']","['PyTorch', 'Keras', 'Ansible', 'TensorFlow']","['Elasticsearch', 'Docker', 'MySQL']",1 week,Contributed to XYZ project,No achievements
Robin Galloway,Civil Engineering,"['digital signal processing', 'computer vision']",['bioinformatics'],"['PHP', 'Lua', 'C++']","['Spring Boot', 'Ionic', 'Ember.js', 'React Native']","['Azure', 'MySQL', 'TensorFlow']","['PostgreSQL', 'Kubernetes', 'MySQL']",2 months,No open-source contribution,No achievements
Shawn Rodgers,Information Technology,"['computational biology', 'artificial intelligence']","['artificial intelligence and machine learning', 'web and mobile development', 'IoT']",['Lua'],"['Meteor', 'Vue.js']","['MySQL', 'Docker']","['AWS', 'PyTorch', 'GitHub']",1 week,Contributed to XYZ project,No achievements
Julie Ortiz,Electrical Engineering,"['system architecture', 'computational theory']",['robotics'],"['Objective-C', 'PHP']","['Laravel', 'Django', 'Flask', 'Spring Boot']","['Keras', 'TensorFlow']","['Docker', 'GitHub', 'MongoDB', 'Keras']",1 week,No open-source contribution,No achievements
Melinda Williams,Electrical Engineering,"['algorithms', 'machine learning', 'cryptography']","['game development', 'bioinformatics', 'human-computer interaction']","['SQL', 'Go', 'C++']","['Nuxt.js', 'Flask']","['GitHub', 'Kubernetes', 'Azure', 'Git']","['TensorFlow', 'Git', 'Docker', 'Kubernetes']",1 week,Contributed to XYZ project,No achievements
